Local time,Open,High,Low,Close,Volume
31.12.2019 23:00:00.000 GMT+0100,7101,7165,7101,7158,0.0759
01.01.2020 23:00:00.000 GMT+0100,7157,7157,6850,6902,279.65620000000007
02.01.2020 23:00:00.000 GMT+0100,6901,7342,6803,7253,630.435
03.01.2020 23:00:00.000 GMT+0100,7253,7253,7253,7253,0
04.01.2020 23:00:00.000 GMT+0100,7372,7372,7305,7305,0.0638
05.01.2020 23:00:00.000 GMT+0100,7303,7548,7259,7518,622.8252999999997
06.01.2020 23:00:00.000 GMT+0100,7518,8133,7518,7965,1074.1287
07.01.2020 23:00:00.000 GMT+0100,7964,8406,7817,7949,1097.9723999999999
08.01.2020 23:00:00.000 GMT+0100,7949,8053,7692,7729,978.5586999999999
09.01.2020 23:00:00.000 GMT+0100,7729,8077,7623,8016,853.4101999999999
10.01.2020 23:00:00.000 GMT+0100,8016,8016,8016,8016,0
11.01.2020 23:00:00.000 GMT+0100,8079,8086,8039,8044,0.0545
12.01.2020 23:00:00.000 GMT+0100,8041,8137,7992,8074,324.1281
13.01.2020 23:00:00.000 GMT+0100,8074,8800,8050,8684,1001.5448000000002
14.01.2020 23:00:00.000 GMT+0100,8684,8844,8504,8767,809.2383
15.01.2020 23:00:00.000 GMT+0100,8764,8806,8528,8622,752.8247999999999
16.01.2020 23:00:00.000 GMT+0100,8622,8951,8608,8812,702.3487999999999
17.01.2020 23:00:00.000 GMT+0100,8812,8812,8812,8812,0
18.01.2020 23:00:00.000 GMT+0100,8584,8691,8582,8662,0.1159
19.01.2020 23:00:00.000 GMT+0100,8661,8687,8443,8614,586.2073999999999
20.01.2020 23:00:00.000 GMT+0100,8614,8713,8430,8664,608.7655
21.01.2020 23:00:00.000 GMT+0100,8663,8734,8517,8582,480.95629999999994
22.01.2020 23:00:00.000 GMT+0100,8582,8609,8223,8325,498.25700000000006
23.01.2020 23:00:00.000 GMT+0100,8324,8454,8163,8417,503.66020000000003
24.01.2020 23:00:00.000 GMT+0100,8417,8417,8417,8417,0
25.01.2020 23:00:00.000 GMT+0100,8498,8529,8497,8527,0.0491
26.01.2020 23:00:00.000 GMT+0100,8526,8934,8480,8889,638.4934
27.01.2020 23:00:00.000 GMT+0100,8889,9124,8818,8986,767.8143999999999
28.01.2020 23:00:00.000 GMT+0100,8986,9375,8982,9300,646.9268999999998
29.01.2020 23:00:00.000 GMT+0100,9300,9507,9131,9499,742.5061
30.01.2020 23:00:00.000 GMT+0100,9499,9508,9143,9248,565.8916
31.01.2020 23:00:00.000 GMT+0100,9248,9297,9248,9297,0
01.02.2020 23:00:00.000 GMT+0100,9378,9387,9365,9384,0.0503
02.02.2020 23:00:00.000 GMT+0100,9384,9549,9165,9219,494.5014
03.02.2020 23:00:00.000 GMT+0100,9219,9286,9023,9081,435.7792999999999
04.02.2020 23:00:00.000 GMT+0100,9081,9711,9074,9633,758.8698999999999
05.02.2020 23:00:00.000 GMT+0100,9633,9801,9474,9681,768.9685000000001
06.02.2020 23:00:00.000 GMT+0100,9681,9815,9598,9673,623.8201000000001
07.02.2020 23:00:00.000 GMT+0100,9673,9673,9673,9673,0
08.02.2020 23:00:00.000 GMT+0100,10002,10032,9999,10020,0.0378
09.02.2020 23:00:00.000 GMT+0100,10018,10137,9702,9811,684.4899999999999
10.02.2020 23:00:00.000 GMT+0100,9811,10329,9656,10187,693.3803
11.02.2020 23:00:00.000 GMT+0100,10187,10424,10165,10335,692.2079999999999
12.02.2020 23:00:00.000 GMT+0100,10335,10454,10031,10126,807.2579000000002
13.02.2020 23:00:00.000 GMT+0100,10126,10334,10047,10314,872.1054
14.02.2020 23:00:00.000 GMT+0100,10314,10314,10314,10314,0
15.02.2020 23:00:00.000 GMT+0100,9724,9734,9706,9714,0.0762
16.02.2020 23:00:00.000 GMT+0100,9711,9946,9418,9591,733.2910000000003
17.02.2020 23:00:00.000 GMT+0100,9588,10223,9556,10105,686.3074
18.02.2020 23:00:00.000 GMT+0100,10105,10246,9262,9560,735.0216000000001
19.02.2020 23:00:00.000 GMT+0100,9560,9651,9360,9554,636.6475999999999
20.02.2020 23:00:00.000 GMT+0100,9553,9713,9522,9660,687.4778
21.02.2020 23:00:00.000 GMT+0100,9660,9660,9660,9660,0
22.02.2020 23:00:00.000 GMT+0100,9830,9842,9828,9828,0.031
23.02.2020 23:00:00.000 GMT+0100,9828,9968,9431,9549,607.4461
24.02.2020 23:00:00.000 GMT+0100,9548,9620,9190,9328,444.5346
25.02.2020 23:00:00.000 GMT+0100,9327,9365,8570,8687,318.1735
26.02.2020 23:00:00.000 GMT+0100,8687,8914,8467,8698,552.0071999999999
27.02.2020 23:00:00.000 GMT+0100,8698,8843,8381,8560,824.3341999999999
28.02.2020 23:00:00.000 GMT+0100,8560,8560,8560,8560,0
29.02.2020 23:00:00.000 GMT+0100,8425,8471,8404,8455,0.1425
01.03.2020 23:00:00.000 GMT+0100,8457,8892,8433,8888,697.0164
02.03.2020 23:00:00.000 GMT+0100,8888,8916,8605,8680,577.3498000000001
03.03.2020 23:00:00.000 GMT+0100,8680,8790,8614,8678,509.9443000000001
04.03.2020 23:00:00.000 GMT+0100,8678,9113,8672,9059,742.3268
05.03.2020 23:00:00.000 GMT+0100,9059,9124,8943,9062,767.5138000000002
06.03.2020 23:00:00.000 GMT+0100,9062,9062,9062,9062,0
07.03.2020 23:00:00.000 GMT+0100,9062,9062,9062,9062,0
08.03.2020 22:00:00.000 GMT+0100,8215,8235,7580,7800,773.0391000000003
09.03.2020 22:00:00.000 GMT+0100,7799,8096,7680,7942,547.1348
10.03.2020 22:00:00.000 GMT+0100,7942,7980,7535,7804,580.1595
11.03.2020 22:00:00.000 GMT+0100,7804,7934,5542,5668,933.9614999999999
12.03.2020 22:00:00.000 GMT+0100,5668,5936,3851,5389,1067.2214999999999
13.03.2020 22:00:00.000 GMT+0100,5389,5389,5389,5389,0
14.03.2020 22:00:00.000 GMT+0100,5389,5389,5389,5389,0
15.03.2020 22:00:00.000 GMT+0100,5118,5897,4378,4849,1074.8479
16.03.2020 22:00:00.000 GMT+0100,4850,5448,4811,5411,1159.1124000000002
17.03.2020 22:00:00.000 GMT+0100,5411,5505,4967,5282,1180.5893999999998
18.03.2020 22:00:00.000 GMT+0100,5282,6336,5212,6199,1169.6039
19.03.2020 22:00:00.000 GMT+0100,6199,6888,5645,5916,1346.8471
20.03.2020 22:00:00.000 GMT+0100,5916,5916,5916,5916,0
21.03.2020 22:00:00.000 GMT+0100,5916,5916,5916,5916,0
22.03.2020 22:00:00.000 GMT+0100,5881,6579,5635,6357,1104.883
23.03.2020 22:00:00.000 GMT+0100,6357,6808,6305,6699,1165.2362
24.03.2020 22:00:00.000 GMT+0100,6699,6929,6417,6542,1075.9617000000003
25.03.2020 22:00:00.000 GMT+0100,6542,6738,6476,6691,922.1240999999999
26.03.2020 22:00:00.000 GMT+0100,6690,6811,6531,6627,706.7071000000001
27.03.2020 22:00:00.000 GMT+0100,6627,6627,6627,6627,0
28.03.2020 22:00:00.000 GMT+0100,6627,6627,6627,6627,0
29.03.2020 23:00:00.000 GMT+0200,5891,6467,5799,6423,893.8978000000001
30.03.2020 23:00:00.000 GMT+0200,6423,6572,6287,6424,857.4620999999999
31.03.2020 23:00:00.000 GMT+0200,6424,6439,6103,6295,856.8605
01.04.2020 23:00:00.000 GMT+0200,6295,7194,6294,6694,1211.4614
02.04.2020 23:00:00.000 GMT+0200,6690,6989,6562,6647,1180.8010000000002
03.04.2020 23:00:00.000 GMT+0200,6647,6647,6647,6647,0
04.04.2020 23:00:00.000 GMT+0200,6647,6647,6647,6647,0
05.04.2020 23:00:00.000 GMT+0200,6701,7266,6672,7173,1116.6702
06.04.2020 23:00:00.000 GMT+0200,7173,7411,7023,7065,1101.5324
07.04.2020 23:00:00.000 GMT+0200,7065,7371,7030,7266,1048.2164999999998
08.04.2020 23:00:00.000 GMT+0200,7266,7340,7060,7248,782.046
09.04.2020 23:00:00.000 GMT+0200,7248,7268,6696,6866,1015.2727999999998
10.04.2020 23:00:00.000 GMT+0200,6866,6866,6866,6866,0
11.04.2020 23:00:00.000 GMT+0200,6866,6866,6866,6866,0
12.04.2020 23:00:00.000 GMT+0200,7073,7097,6535,6771,907.1028000000001
13.04.2020 23:00:00.000 GMT+0200,6772,6929,6722,6817,996.6466
14.04.2020 23:00:00.000 GMT+0200,6817,6883,6636,6693,686.9103
15.04.2020 23:00:00.000 GMT+0200,6693,7095,6424,7003,943.6294999999998
16.04.2020 23:00:00.000 GMT+0200,7003,7156,6945,7004,968.4653999999999
17.04.2020 23:00:00.000 GMT+0200,7004,7004,7004,7004,0
18.04.2020 23:00:00.000 GMT+0200,7004,7004,7004,7004,0
19.04.2020 23:00:00.000 GMT+0200,7092,7167,6705,6810,1030.5636000000002
20.04.2020 23:00:00.000 GMT+0200,6810,6897,6719,6840,868.9962000000002
21.04.2020 23:00:00.000 GMT+0200,6840,7111,6772,7063,783.924
22.04.2020 23:00:00.000 GMT+0200,7063,7706,6980,7484,952.6870000000001
23.04.2020 23:00:00.000 GMT+0200,7484,7562,7341,7477,698.0361
24.04.2020 23:00:00.000 GMT+0200,7477,7477,7477,7477,0
25.04.2020 23:00:00.000 GMT+0200,7477,7477,7477,7477,0
26.04.2020 23:00:00.000 GMT+0200,7600,7742,7535,7654,772.1967999999999
27.04.2020 23:00:00.000 GMT+0200,7654,7740,7616,7680,791.8286000000002
28.04.2020 23:00:00.000 GMT+0200,7680,8917,7665,8878,1136.9605999999999
29.04.2020 23:00:00.000 GMT+0200,8878,9414,8356,8771,1501.607
30.04.2020 23:00:00.000 GMT+0200,8771,9014,8536,8676,1051.3193
01.05.2020 23:00:00.000 GMT+0200,8676,8676,8676,8676,0
02.05.2020 23:00:00.000 GMT+0200,8676,8676,8676,8676,0
03.05.2020 23:00:00.000 GMT+0200,8778,8909,8480,8866,951.3427000000001
04.05.2020 23:00:00.000 GMT+0200,8866,9065,8732,8899,951.4865000000001
05.05.2020 23:00:00.000 GMT+0200,8898,9340,8867,9197,1054.7829000000002
06.05.2020 23:00:00.000 GMT+0200,9197,9911,8989,9751,1193.5694
07.05.2020 23:00:00.000 GMT+0200,9751,10016,9677,9944,1151.0562999999997
08.05.2020 23:00:00.000 GMT+0200,9944,9944,9944,9944,0
09.05.2020 23:00:00.000 GMT+0200,9944,9944,9944,9944,0
10.05.2020 23:00:00.000 GMT+0200,8675,9116,8146,8580,1334.3591999999999
11.05.2020 23:00:00.000 GMT+0200,8580,8922,8426,8768,1194.6733000000002
12.05.2020 23:00:00.000 GMT+0200,8768,9287,8693,9246,1251.3452
13.05.2020 23:00:00.000 GMT+0200,9246,9889,9213,9603,1256.8628999999999
14.05.2020 23:00:00.000 GMT+0200,9603,9793,9092,9186,866.9855000000001
15.05.2020 23:00:00.000 GMT+0200,9186,9186,9186,9186,0
16.05.2020 23:00:00.000 GMT+0200,9186,9186,9186,9186,0
17.05.2020 23:00:00.000 GMT+0200,9676,9899,9415,9621,724.8217
18.05.2020 23:00:00.000 GMT+0200,9621,9841,9410,9638,1039.5514999999998
19.05.2020 23:00:00.000 GMT+0200,9638,9783,9259,9535,848.5646999999998
20.05.2020 23:00:00.000 GMT+0200,9535,9535,8748,9002,892.7840000000001
21.05.2020 23:00:00.000 GMT+0200,9002,9211,8876,9128,690.6516999999999
22.05.2020 23:00:00.000 GMT+0200,9128,9128,9128,9128,0
23.05.2020 23:00:00.000 GMT+0200,9128,9128,9128,9128,0
24.05.2020 23:00:00.000 GMT+0200,8944,9022,8581,8860,938.1555
25.05.2020 23:00:00.000 GMT+0200,8860,8962,8644,8803,725.4947000000002
26.05.2020 23:00:00.000 GMT+0200,8802,9173,8751,9111,481.9104
27.05.2020 23:00:00.000 GMT+0200,9111,9481,9001,9391,525.8281999999999
28.05.2020 23:00:00.000 GMT+0200,9391,9568,9285,9362,530.417
29.05.2020 23:00:00.000 GMT+0200,9362,9362,9362,9362,0
30.05.2020 23:00:00.000 GMT+0200,9362,9362,9362,9362,0
31.05.2020 23:00:00.000 GMT+0200,9450,9639,9334,9624,222.52450000000005
01.06.2020 23:00:00.000 GMT+0200,9624,10357,9246,9464,582.3325
02.06.2020 23:00:00.000 GMT+0200,9464,9592,9341,9528,497.6516
03.06.2020 23:00:00.000 GMT+0200,9528,9829,9405,9731,602.1793000000001
04.06.2020 23:00:00.000 GMT+0200,9731,9806,9567,9660,641.5621999999998
05.06.2020 23:00:00.000 GMT+0200,9660,9660,9660,9660,0
06.06.2020 23:00:00.000 GMT+0200,9660,9660,9660,9660,0
07.06.2020 23:00:00.000 GMT+0200,9671,9754,9599,9647,541.9835
08.06.2020 23:00:00.000 GMT+0200,9647,9835,9528,9693,571.8335000000001
09.06.2020 23:00:00.000 GMT+0200,9693,9959,9651,9812,618.7937
10.06.2020 23:00:00.000 GMT+0200,9812,9954,9038,9283,586.1053
11.06.2020 23:00:00.000 GMT+0200,9281,9496,9177,9408,500.6261999999999
12.06.2020 23:00:00.000 GMT+0200,9408,9408,9408,9408,0
13.06.2020 23:00:00.000 GMT+0200,9408,9408,9408,9408,0
14.06.2020 23:00:00.000 GMT+0200,9325,9433,8854,9426,586.7286
15.06.2020 23:00:00.000 GMT+0200,9426,9535,9329,9439,512.2108000000001
16.06.2020 23:00:00.000 GMT+0200,9439,9505,9189,9318,332.4248
17.06.2020 23:00:00.000 GMT+0200,9315,9423,9257,9288,335.6864999999999
18.06.2020 23:00:00.000 GMT+0200,9281,9374,9178,9259,347.62410000000006
19.06.2020 23:00:00.000 GMT+0200,9259,9259,9259,9259,0
20.06.2020 23:00:00.000 GMT+0200,9259,9259,9259,9259,0
21.06.2020 23:00:00.000 GMT+0200,9253,9611,9217,9590,226.65419999999997
22.06.2020 23:00:00.000 GMT+0200,9590,9731,9524,9575,420.2478999999999
23.06.2020 23:00:00.000 GMT+0200,9575,9612,9146,9233,327.71290000000005
24.06.2020 23:00:00.000 GMT+0200,9233,9264,8940,9219,371.5144
25.06.2020 23:00:00.000 GMT+0200,9219,9279,8976,9132,392.4339999999999
26.06.2020 23:00:00.000 GMT+0200,9132,9132,9132,9132,0
27.06.2020 23:00:00.000 GMT+0200,9132,9132,9132,9132,0
28.06.2020 23:00:00.000 GMT+0200,9053,9138,8963,9124,460.1338999999999
29.06.2020 23:00:00.000 GMT+0200,9124,9179,9008,9090,484.78679999999997
30.06.2020 23:00:00.000 GMT+0200,9091,9241,9037,9184,471.1514
01.07.2020 23:00:00.000 GMT+0200,9184,9210,8892,9025,554.2063999999999
02.07.2020 23:00:00.000 GMT+0200,9025,9102,9002,9037,438.57499999999993
03.07.2020 23:00:00.000 GMT+0200,9037,9037,9037,9037,0
04.07.2020 23:00:00.000 GMT+0200,8974,8988,8974,8980,0.023
05.07.2020 23:00:00.000 GMT+0200,8952,9295,8870,9220,194.8783
06.07.2020 23:00:00.000 GMT+0200,9220,9323,9151,9200,323.12339999999995
07.07.2020 23:00:00.000 GMT+0200,9199,9420,9175,9376,308.6462
08.07.2020 23:00:00.000 GMT+0200,9376,9416,9109,9182,277.4548
09.07.2020 23:00:00.000 GMT+0200,9182,9200,9070,9175,229.9916
10.07.2020 23:00:00.000 GMT+0200,9175,9175,9175,9175,0
11.07.2020 23:00:00.000 GMT+0200,9205,9207,9191,9192,0.0416
