Månad,index
2010-01,9
2010-02,9
2010-03,10
2010-04,9
2010-05,9
2010-06,9
2010-07,7
2010-08,9
2010-09,9
2010-10,8
2010-11,9
2010-12,7
2011-01,9
2011-02,9
2011-03,8
2011-04,9
2011-05,9
2011-06,8
2011-07,8
2011-08,8
2011-09,10
2011-10,13
2011-11,13
2011-12,10
2012-01,10
2012-02,11
2012-03,12
2012-04,12
2012-05,13
2012-06,10
2012-07,10
2012-08,11
2012-09,12
2012-10,12
2012-11,13
2012-12,11
2013-01,13
2013-02,11
2013-03,12
2013-04,12
2013-05,12
2013-06,13
2013-07,12
2013-08,11
2013-09,13
2013-10,15
2013-11,16
2013-12,15
2014-01,14
2014-02,15
2014-03,17
2014-04,17
2014-05,16
2014-06,14
2014-07,16
2014-08,16
2014-09,19
2014-10,19
2014-11,19
2014-12,18
2015-01,20
2015-02,20
2015-03,22
2015-04,25
2015-05,23
2015-06,23
2015-07,23
2015-08,22
2015-09,26
2015-10,27
2015-11,31
2015-12,28
2016-01,27
2016-02,30
2016-03,33
2016-04,33
2016-05,35
2016-06,35
2016-07,31
2016-08,35
2016-09,40
2016-10,44
2016-11,48
2016-12,44
2017-01,53
2017-02,54
2017-03,60
2017-04,60
2017-05,68
2017-06,65
2017-07,61
2017-08,63
2017-09,69
2017-10,75
2017-11,79
2017-12,76
2018-01,74
2018-02,77
2018-03,84
2018-04,85
2018-05,84
2018-06,81
2018-07,79
2018-08,79
2018-09,89
2018-10,92
2018-11,85
2018-12,80
2019-01,88
2019-02,96
2019-03,93
2019-04,90
2019-05,91
2019-06,91
2019-07,92
2019-08,89
2019-09,100
2019-10,97
2019-11,95
2019-12,92
